Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Driver_Age,Driver_Gender,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Comments,Violation_Type,Fine_Amount,Location,Date,Time
VLT102855,Over-speeding,-0.3727629,Tamil Nadu,2030-11-12,21:45,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Foggy,Wet,Expired,-0.49021432,No,Yes,Red,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Card,No,Repeat Offender,Overloading,0.084599935,West Bengal,2028-06-04,22:48
VLT103415,Over-speeding,-0.3727629,West Bengal,2032-05-25,04:02,Scooter,Silver,-0.38655567,-0.38484493,Female,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,No,Repeat Offender,Overloading,0.075690895,West Bengal,2028-06-04,22:48
VLT103666,Over-speeding,-0.3727629,Uttar Pradesh,2033-01-31,05:16,Scooter,Grey,2.5869496,-0.38484493,Other,-0.3809822,Foggy,Under Construction,Expired,-0.49021432,,No,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,No,Repeat Offender,Overloading,0.084742114,West Bengal,2028-06-04,22:48
VLT101580,Over-speeding,2.6826706,Delhi,2027-05-17,15:52,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Valid,-0.49021432,No,No,Green,-0.7045892,-0.70976007,-0.712151,Negative,Yes,Yes,Online,No,Repeat Offender,Overloading,0.080300786,West Bengal,2028-06-04,22:48
VLT101492,Over-speeding,-0.3727629,Karnataka,2027-02-18,00:36,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Dust Storm,Dry,Suspended,-0.49021432,,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,Yes,Repeat Offender,Overloading,0.06041698,West Bengal,2028-06-04,22:48
VLT100120,Over-speeding,-0.3727629,Tamil Nadu,2023-05-18,04:35,Scooter,Green,-0.38655567,-0.38484493,Other,-0.3809822,Rainy,Under Construction,Suspended,-0.49021432,Yes,Yes,Red,-0.7045892,-0.70976007,1.4041966,Not Conducted,No,No,Card,No,Repeat Offender,Overloading,0.07063755,West Bengal,2028-06-04,22:48
VLT100067,No Seatbelt,-0.3727629,Delhi,2023-03-26,20:14,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Dust Storm,Wet,Suspended,-0.49021432,No,No,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Card,No,Repeat Offender,Overloading,0.07786357,West Bengal,2028-06-04,22:48
VLT101571,Over-speeding,-0.3727629,Tamil Nadu,2027-05-08,02:56,Scooter,Green,-0.38655567,-0.38484493,Female,-0.3809822,Foggy,Slippery,Expired,-0.49021432,,,Red,1.4192667,-0.70976007,1.4041966,Positive,No,Yes,Not Paid,Yes,Repeat Offender,Overloading,0.08842367,West Bengal,2028-06-04,22:48
VLT100226,Over-speeding,-0.3727629,West Bengal,2023-09-01,17:30,Scooter,Silver,-0.38655567,-0.38484493,Other,2.6247945,Foggy,Slippery,Suspended,-0.49021432,No,No,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Not Paid,No,Repeat Offender,Overloading,0.0656024,West Bengal,2028-06-04,22:48
VLT101211,Over-speeding,-0.3727629,Maharashtra,2026-05-13,23:05,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Cloudy,Potholes,Valid,-0.49021432,Yes,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,No,Repeat Offender,Overloading,0.07652446,West Bengal,2028-06-04,22:48
VLT101042,Over-speeding,-0.3727629,Tamil Nadu,2025-11-25,14:19,Scooter,Silver,-0.38655567,-0.38484493,Other,2.6247945,Dust Storm,Under Construction,Suspended,-0.49021432,No,Yes,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Card,No,Repeat Offender,Overloading,0.06287688,West Bengal,2028-06-04,22:48
VLT100247,Over-speeding,-0.3727629,Delhi,2023-09-22,01:41,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Foggy,Potholes,Suspended,-0.49021432,Yes,No,Red,-0.7045892,-0.70976007,1.4041966,Not Conducted,Yes,No,Not Paid,No,Repeat Offender,Overloading,0.067759395,West Bengal,2028-06-04,22:48
VLT102600,Over-speeding,-0.3727629,Tamil Nadu,2030-03-02,23:39,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Expired,-0.49021432,Yes,,Red,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,Yes,Online,Yes,Repeat Offender,Overloading,0.06657012,West Bengal,2028-06-04,22:48
VLT100654,No Seatbelt,-0.3727629,Delhi,2024-11-02,06:05,Scooter,Yellow,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,Yes,Yes,Yellow,-0.7045892,1.4089267,-0.712151,Not Conducted,No,No,Online,Yes,Repeat Offender,Overloading,0.023355955,West Bengal,2028-06-04,22:48
VLT102257,Over-speeding,-0.3727629,West Bengal,2029-03-24,07:30,Scooter,Green,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Under Construction,Expired,-0.49021432,No,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,No,Yes,Not Paid,No,Repeat Offender,Overloading,0.056073688,West Bengal,2028-06-04,22:48
VLT102120,No Seatbelt,-0.3727629,Delhi,2028-11-07,04:15,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Foggy,Dry,Suspended,-0.49021432,No,No,Green,-0.7045892,-0.70976007,1.4041966,Not Conducted,No,No,Card,No,Repeat Offender,Overloading,0.07456696,West Bengal,2028-06-04,22:48
VLT101144,Over-speeding,-0.3727629,West Bengal,2026-03-07,01:40,Scooter,Green,-0.38655567,2.5984492,Other,-0.3809822,Rainy,Under Construction,Expired,-0.49021432,,,Red,1.4192667,1.4089267,-0.712151,Not Conducted,Yes,Yes,Online,Yes,Repeat Offender,Overloading,0.05226817,Delhi,2028-06-04,00:47
VLT101833,Over-speeding,2.6826706,Punjab,2028-01-25,16:53,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,Yes,Yes,Green,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Cash,No,Repeat Offender,Overloading,0.06486881,West Bengal,2028-06-04,22:48
VLT102784,Over-speeding,-0.3727629,West Bengal,2030-09-02,05:30,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Slippery,Suspended,2.0399241,Yes,Yes,Yellow,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Cash,No,Repeat Offender,Overloading,0.08544491,West Bengal,2028-06-04,22:48
VLT102519,Over-speeding,-0.3727629,Tamil Nadu,2029-12-11,18:20,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Foggy,Wet,Suspended,-0.49021432,Yes,No,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,Yes,Yes,Online,Yes,Repeat Offender,Overloading,0.12679327,West Bengal,2028-06-04,22:48
VLT100034,Over-speeding,2.6826706,Delhi,2023-02-21,03:33,Scooter,Yellow,-0.38655567,-0.38484493,Other,-0.3809822,Clear,Under Construction,Expired,-0.49021432,,No,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,No,Not Paid,No,Repeat Offender,Overloading,0.0968716,West Bengal,2028-06-04,22:48
VLT102540,Over-speeding,2.6826706,Delhi,2030-01-01,01:26,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Potholes,Valid,-0.49021432,,Yes,Red,1.4192667,-0.70976007,1.4041966,Not Conducted,Yes,No,Card,No,Repeat Offender,Overloading,0.060409464,West Bengal,2028-06-04,22:48
VLT101681,Over-speeding,-0.3727629,Delhi,2027-08-26,03:24,Scooter,Red,-0.38655567,-0.38484493,Female,-0.3809822,Foggy,Under Construction,Suspended,-0.49021432,No,Yes,Red,-0.7045892,1.4089267,-0.712151,Not Conducted,No,No,Cash,No,Repeat Offender,Overloading,0.081913225,West Bengal,2028-06-04,22:48
VLT100164,No Seatbelt,-0.3727629,Punjab,2023-07-01,23:20,Scooter,Silver,2.5869496,-0.38484493,Other,-0.3809822,Rainy,Under Construction,Expired,-0.49021432,,No,Red,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Card,No,Repeat Offender,Overloading,0.10352187,West Bengal,2028-06-04,22:48
VLT102379,Over-speeding,-0.3727629,Gujarat,2029-07-24,19:19,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Dust Storm,Wet,Expired,-0.49021432,No,Yes,Yellow,-0.7045892,-0.70976007,1.4041966,Not Conducted,Yes,No,Not Paid,No,Repeat Offender,Overloading,0.061339427,West Bengal,2028-06-04,22:48
